{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 

      2.9060000           1.2130000         15.0100000     
      2.9080000           1.2160000         15.0100000     
      2.9100000           1.2180000         15.0200000     
      2.9110000           1.2200000         15.0200000     
      2.9130000           1.2220000         15.0200000     
      2.9150000           1.2240000         15.0200000     
      2.9160000           1.2250000         15.0200000     
      2.9180000           1.2270000         15.0300000     
      2.9190000           1.2290000         15.0300000     
      2.9210000           1.2300000         15.0300000     
      2.9230000           1.2310000         15.0300000     
      2.9240000           1.2330000         15.0300000     
      2.9260000           1.2340000         15.0400000     
      2.9270000           1.2350000         15.0400000     
      2.9290000           1.2360000         15.0400000     
      2.9310000           1.2370000         15.0400000     
      2.9320000           1.2380000         15.0400000     
      2.9340000           1.2380000         15.0500000     
      2.9350000           1.2390000         15.0500000     
      2.9370000           1.2400000         15.0500000     
      2.9390000           1.2400000         15.0500000     
      2.9400000           1.2400000         15.0500000     
      2.9420000           1.2410000         15.0600000     
      2.9430000           1.2410000         15.0600000     
      2.9450000           1.2410000         15.0600000     
      2.9470000           1.2410000         15.0600000     
      2.9480000           1.2410000         15.0600000     
      2.9500000           1.2400000         15.0600000     
      2.9510000           1.2400000         15.0700000     
      2.9530000           1.2400000         15.0700000     
      2.9550000           1.2390000         15.0700000     
      2.9560000           1.2390000         15.0700000     
      2.9580000           1.2380000         15.0700000     
      2.9590000           1.2370000         15.0800000     
      2.9610000           1.2360000         15.0800000     
      2.9630000           1.2350000         15.0800000     
      2.9640000           1.2340000         15.0800000     
      2.9660000           1.2330000         15.0800000     
      2.9670000           1.2320000         15.0900000     
      2.9690000           1.2330000         15.0900000     
      2.9710000           1.2350000         15.0900000     
      2.9720000           1.2370000         15.0900000     
      2.9740000           1.2400000         15.0900000     
      2.9750000           1.2440000         15.1000000     
      2.9770000           1.2490000         15.1000000     
      2.9790000           1.2540000         15.1000000     
      2.9800000           1.2600000         15.1000000     
      2.9820000           1.2660000         15.1000000     
      2.9830000           1.2730000         15.1100000     
      2.9850000           1.2810000         15.1100000     
      2.9870000           1.2900000         15.1100000     
      2.9880000           1.2990000         15.1100000     
      2.9900000           1.3090000         15.1100000     
      2.9910000           1.3220000         15.1200000     
      2.9930000           1.3360000         15.1200000     
      2.9950000           1.3480000         15.1200000     
      2.9960000           1.3590000         15.1200000     
      2.9980000           1.3680000         15.1300000     
      2.9990000           1.3760000         15.1300000     
      3.0010000           1.3820000         15.1300000     
      3.0030000           1.3860000         15.1300000     
      3.0040000           1.3890000         15.1300000     
      3.0060000           1.3900000         15.1400000     
      3.0070000           1.3900000         15.1400000     
      3.0090000           1.3910000         15.1400000     
      3.0110000           1.3910000         15.1400000     
      3.0120000           1.3920000         15.1500000     
      3.0140000           1.3920000         15.1500000     
      3.0150000           1.3930000         15.1500000     
      3.0170000           1.3940000         15.1500000     
      3.0190000           1.3950000         15.1500000     
      3.0200000           1.3950000         15.1600000     
      3.0220000           1.3960000         15.1600000     
      3.0230000           1.3970000         15.1600000     
      3.0250000           1.3980000         15.1600000     
      3.0270000           1.3990000         15.1700000     
      3.0280000           1.3990000         15.1700000     
      3.0300000           1.4000000         15.1700000     
      3.0310000           1.4010000         15.1700000     
      3.0330000           1.4020000         15.1700000     
      3.0350000           1.4030000         15.1800000     
      3.0360000           1.4040000         15.1800000     
      3.0380000           1.4050000         15.1800000     
      3.0390000           1.4060000         15.1800000     
      3.0410000           1.4080000         15.1900000     
      3.0430000           1.4090000         15.1900000     
      3.0440000           1.4100000         15.1900000     
      3.0460000           1.4110000         15.1900000     
      3.0470000           1.4120000         15.1900000     
      3.0490000           1.4140000         15.2000000     
      3.0510000           1.4150000         15.2000000     
      3.0520000           1.4160000         15.2000000     
      3.0540000           1.4180000         15.2000000     
      3.0550000           1.4190000         15.2100000     
      3.0570000           1.4200000         15.2100000     
      3.0590000           1.4220000         15.2100000     
      3.0600000           1.4230000         15.2100000     
      3.0620000           1.4250000         15.2200000     
      3.0630000           1.4260000         15.2200000     
      3.0650000           1.4280000         15.2200000     
      3.0670000           1.4290000         15.2200000     
      3.0680000           1.4310000         15.2200000     
      3.0700000           1.4330000         15.2300000     
      3.0710000           1.4340000         15.2300000     
      3.0730000           1.4360000         15.2300000     
      3.0750000           1.4380000         15.2300000     
      3.0760000           1.4400000         15.2400000     
      3.0780000           1.4420000         15.2400000     
      3.0790000           1.4440000         15.2400000     
      3.0810000           1.4460000         15.2400000     
      3.0830000           1.4480000         15.2500000     
      3.0840000           1.4500000         15.2500000     
      3.0860000           1.4520000         15.2500000     
      3.0870000           1.4540000         15.2500000     
      3.0890000           1.4560000         15.2500000     
      3.0910000           1.4590000         15.2600000     
      3.0920000           1.4610000         15.2600000     
      3.0940000           1.4630000         15.2600000     
      3.0950000           1.4660000         15.2600000     
      3.0970000           1.4680000         15.2700000     
      3.0990000           1.4700000         15.2700000     
      3.1000000           1.4730000         15.2700000     
      3.1020000           1.4750000         15.2700000     
      3.1030000           1.4780000         15.2800000     
      3.1050000           1.4810000         15.2800000     
      3.1070000           1.4830000         15.2800000     
      3.1080000           1.4860000         15.2800000     
      3.1100000           1.4890000         15.2900000     
      3.1110000           1.4910000         15.2900000     
      3.1130000           1.4940000         15.2900000     
      3.1150000           1.4970000         15.2900000     
      3.1160000           1.5000000         15.2900000     
      3.1180000           1.5030000         15.3000000     
      3.1190000           1.5060000         15.3000000     
      3.1210000           1.5090000         15.3000000     
      3.1230000           1.5120000         15.3000000     
      3.1240000           1.5150000         15.3100000     
      3.1260000           1.5180000         15.3100000     
      3.1270000           1.5210000         15.3100000     
      3.1290000           1.5250000         15.3100000     
      3.1310000           1.5280000         15.3200000     
      3.1320000           1.5310000         15.3200000     
      3.1340000           1.5340000         15.3200000     
      3.1350000           1.5380000         15.3200000     
      3.1370000           1.5410000         15.3300000     
      3.1390000           1.5450000         15.3300000     
      3.1400000           1.5480000         15.3300000     
      3.1420000           1.5520000         15.3300000     
      3.1430000           1.5560000         15.3400000     
      3.1450000           1.5590000         15.3400000     
      3.1470000           1.5630000         15.3400000     
      3.1480000           1.5670000         15.3400000     
      3.1500000           1.5700000         15.3500000     
      3.1510000           1.5740000         15.3500000     
      3.1530000           1.5780000         15.3500000     
      3.1550000           1.5820000         15.3500000     
      3.1560000           1.5860000         15.3600000     
