{'number': 225, 'schoenflies': 'Oh^5', 'international': 'Fm-3m', 'pointgroup_schoenflies': 'Oh', 'pointgroup_international': 'm-3m', 'lattice_type': 'Cubic'}   SnTe   mp-num    N_points: 5000 

         energy                dos          total_dos 

      2.8050000           1.1810000         14.9700000     
      2.8060000           1.1820000         14.9700000     
      2.8080000           1.1840000         14.9700000     
      2.8100000           1.1860000         14.9700000     
      2.8110000           1.1870000         14.9700000     
      2.8130000           1.1880000         14.9800000     
      2.8140000           1.1900000         14.9800000     
      2.8160000           1.1910000         14.9800000     
      2.8180000           1.1930000         14.9800000     
      2.8190000           1.1940000         14.9800000     
      2.8210000           1.1960000         14.9900000     
      2.8220000           1.1970000         14.9900000     
      2.8240000           1.1980000         14.9900000     
      2.8260000           1.2000000         14.9900000     
      2.8270000           1.2010000         14.9900000     
      2.8290000           1.2030000         14.9900000     
      2.8300000           1.2050000         15.0000000     
      2.8320000           1.2060000         15.0000000     
      2.8340000           1.2080000         15.0000000     
      2.8350000           1.2090000         15.0000000     
      2.8370000           1.2110000         15.0000000     
      2.8380000           1.2130000         15.0100000     
      2.8400000           1.2150000         15.0100000     
      2.8420000           1.2170000         15.0100000     
      2.8430000           1.2190000         15.0100000     
      2.8450000           1.2210000         15.0100000     
      2.8460000           1.2230000         15.0200000     
      2.8480000           1.2250000         15.0200000     
      2.8500000           1.2270000         15.0200000     
      2.8510000           1.2290000         15.0200000     
      2.8530000           1.2300000         15.0200000     
      2.8540000           1.2320000         15.0300000     
      2.8560000           1.2340000         15.0300000     
      2.8580000           1.2370000         15.0300000     
      2.8590000           1.2390000         15.0300000     
      2.8610000           1.2410000         15.0300000     
      2.8620000           1.2420000         15.0400000     
      2.8640000           1.2440000         15.0400000     
      2.8660000           1.2460000         15.0400000     
      2.8670000           1.2480000         15.0400000     
      2.8690000           1.2500000         15.0400000     
      2.8700000           1.2520000         15.0500000     
      2.8720000           1.2550000         15.0500000     
      2.8740000           1.2570000         15.0500000     
      2.8750000           1.2590000         15.0500000     
      2.8770000           1.2610000         15.0500000     
      2.8780000           1.2630000         15.0600000     
      2.8800000           1.2660000         15.0600000     
      2.8820000           1.2680000         15.0600000     
      2.8830000           1.2700000         15.0600000     
      2.8850000           1.2720000         15.0600000     
      2.8860000           1.2750000         15.0700000     
      2.8880000           1.2770000         15.0700000     
      2.8900000           1.2790000         15.0700000     
      2.8910000           1.2820000         15.0700000     
      2.8930000           1.2840000         15.0700000     
      2.8940000           1.2870000         15.0800000     
      2.8960000           1.2900000         15.0800000     
      2.8980000           1.2920000         15.0800000     
      2.8990000           1.2950000         15.0800000     
      2.9010000           1.2980000         15.0800000     
      2.9020000           1.3010000         15.0900000     
      2.9040000           1.3040000         15.0900000     
      2.9060000           1.3070000         15.0900000     
      2.9070000           1.3090000         15.0900000     
      2.9090000           1.3120000         15.1000000     
      2.9100000           1.3150000         15.1000000     
      2.9120000           1.3170000         15.1000000     
      2.9140000           1.3200000         15.1000000     
      2.9150000           1.3220000         15.1000000     
      2.9170000           1.3240000         15.1100000     
      2.9180000           1.3260000         15.1100000     
      2.9200000           1.3290000         15.1100000     
      2.9220000           1.3320000         15.1100000     
      2.9230000           1.3350000         15.1100000     
      2.9250000           1.3380000         15.1200000     
      2.9260000           1.3420000         15.1200000     
      2.9280000           1.3510000         15.1200000     
      2.9300000           1.3630000         15.1200000     
      2.9310000           1.3760000         15.1300000     
      2.9330000           1.3900000         15.1300000     
      2.9340000           1.4050000         15.1300000     
      2.9360000           1.4210000         15.1300000     
      2.9380000           1.4350000         15.1300000     
      2.9390000           1.4460000         15.1400000     
      2.9410000           1.4560000         15.1400000     
      2.9420000           1.4620000         15.1400000     
      2.9440000           1.4670000         15.1400000     
      2.9460000           1.4760000         15.1500000     
      2.9470000           1.4870000         15.1500000     
      2.9490000           1.4990000         15.1500000     
      2.9500000           1.5110000         15.1500000     
      2.9520000           1.5240000         15.1600000     
      2.9540000           1.5380000         15.1600000     
      2.9550000           1.5510000         15.1600000     
      2.9570000           1.5660000         15.1600000     
      2.9580000           1.5810000         15.1700000     
      2.9600000           1.5970000         15.1700000     
      2.9620000           1.6150000         15.1700000     
      2.9630000           1.6350000         15.1700000     
      2.9650000           1.7380000         15.1800000     
      2.9660000           1.6530000         15.1800000     
      2.9680000           1.6740000         15.1800000     
      2.9700000           1.7030000         15.1800000     
      2.9710000           1.7330000         15.1900000     
      2.9730000           1.7380000         15.1900000     
      2.9740000           1.7180000         15.1900000     
      2.9760000           1.6880000         15.1900000     
      2.9780000           1.6710000         15.2000000     
      2.9790000           1.6650000         15.2000000     
      2.9810000           1.6640000         15.2000000     
      2.9820000           1.6630000         15.2100000     
      2.9840000           1.6670000         15.2100000     
      2.9860000           1.6690000         15.2100000     
      2.9870000           1.6730000         15.2100000     
